iter	Passed	Remaining
949	18025	948
950	18042	929
951	18060	910
952	18079	891
953	18101	872
954	18120	853
955	18140	834
956	18158	815
957	18178	796
958	18199	778
959	18219	759
960	18236	740
961	18254	721
962	18271	702
963	18288	682
964	18306	663
965	18327	645
966	18345	626
967	18363	607
968	18380	588
969	18398	569
970	18415	549
971	18432	530
972	18451	512
973	18468	492
974	18485	473
975	18503	455
976	18520	436
977	18538	417
978	18555	398
979	18572	379
980	18590	360
981	18607	341
982	18627	322
983	18645	303
984	18664	284
985	18683	265
986	18702	246
987	18721	227
988	18738	208
989	18757	189
990	18780	170
991	18803	151
992	18833	132
993	18854	113
994	18872	94
995	18893	75
996	18914	56
997	18933	37
998	18951	18
999	18969	0
