iter	Passed	Remaining
276	724	1890
277	726	1887
278	729	1884
279	731	1881
280	734	1879
281	737	1876
282	739	1874
283	742	1871
284	744	1868
285	747	1865
286	749	1862
287	751	1859
288	754	1856
289	757	1853
290	759	1850
291	761	1847
292	764	1844
293	767	1841
294	769	1839
295	772	1836
296	775	1834
297	777	1832
298	780	1829
299	782	1826
300	785	1824
301	788	1821
302	790	1818
303	793	1816
304	795	1812
305	798	1810
306	800	1807
307	803	1804
308	805	1801
309	808	1799
310	810	1796
311	813	1793
312	816	1791
313	818	1789
314	821	1786
315	824	1783
316	826	1781
317	829	1779
318	832	1776
319	834	1774
320	837	1771
321	840	1769
322	842	1766
323	845	1764
324	847	1761
325	850	1758
326	853	1755
327	855	1753
328	858	1750
329	860	1747
330	863	1745
331	866	1742
332	868	1740
333	871	1737
334	874	1735
335	877	1733
336	880	1731
337	882	1729
338	885	1726
339	888	1724
340	890	1721
341	893	1718
342	896	1716
343	898	1713
344	901	1711
345	903	1708
346	906	1705
347	908	1702
348	911	1699
349	913	1696
350	916	1694
351	919	1691
352	921	1689
353	924	1686
354	927	1684
355	929	1681
356	932	1679
357	935	1677
358	937	1674
359	940	1672
360	943	1669
361	946	1667
362	948	1664
363	951	1661
364	953	1659
365	956	1657
366	958	1654
367	961	1651
368	964	1648
369	966	1645
370	969	1643
371	971	1640
372	974	1638
373	977	1636
374	980	1633
375	983	1632
376	986	1629
377	989	1627
378	991	1625
379	994	1622
380	997	1620
381	1000	1618
382	1002	1615
383	1005	1612
384	1008	1610
385	1010	1607
386	1013	1605
387	1016	1603
388	1018	1600
389	1021	1597
390	1024	1595
391	1027	1593
392	1030	1591
393	1032	1588
394	1035	1586
395	1039	1585
396	1042	1582
397	1044	1580
398	1047	1577
399	1050	1575
400	1052	1572
401	1055	1569
402	1057	1566
403	1060	1563
404	1062	1561
405	1065	1558
406	1068	1556
407	1071	1554
408	1073	1551
409	1076	1548
410	1078	1545
411	1081	1543
412	1083	1540
413	1086	1538
414	1089	1535
415	1092	1533
416	1094	1530
417	1097	1528
418	1099	1525
419	1102	1522
420	1104	1519
421	1107	1516
422	1109	1513
423	1112	1511
424	1114	1508
425	1117	1505
426	1119	1502
427	1122	1500
428	1124	1496
429	1126	1493
430	1128	1490
431	1131	1487
432	1134	1484
433	1136	1482
434	1139	1479
435	1141	1476
436	1144	1474
437	1146	1471
438	1149	1468
439	1151	1465
440	1154	1462
441	1156	1460
442	1159	1457
443	1161	1454
444	1164	1452
445	1167	1450
